VIDEO,AUTHOR,DATE,TEXT,CLASS
pRpeEdMmmQ0,ThirdDegr3e,2013-07-13T20:48:22.967000,**CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE******CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE**** **CHECK OUT MY NEW MIXTAPE*** ***CHECK OUT MY NEW MIXTAPE****,1
pRpeEdMmmQ0,Shadrach Grentz,2013-07-14T03:11:20.243000,"Hey Music Fans I really appreciate all of you who take time to read this, and check my music out! I&#39;m just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I dont have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that u won&#39;t regret!!! Thank u to all the people who just give me a chance it means a lot! :)",1
pRpeEdMmmQ0,ricky swaggz,2013-07-14T20:40:00.331000,********OMG Facebook is OLD! Check out  -----------------&gt; swagFriends com Make thousands of cool new friends everyday! Join the movement!,1
pRpeEdMmmQ0,FAHAD KHAN,2013-07-14T22:06:57.712000,I WILL NEVER FORGET THIS SONG IN MY LIFE LIKE THIS COMMENT OF YOUR HEARING THIS SONG FOR LIKE A YEAR!!!!!,1
pRpeEdMmmQ0,lynchee360,2013-07-14T22:38:26.779000,I love dis song!! 3,0
pRpeEdMmmQ0,Oona Sarlotta,2013-07-15T16:08:50.204000,this song always gives me chills! :),0
pRpeEdMmmQ0,Riley Rollins,2013-07-16T00:30:46.660000,"O peoples of the earth, I have seen how you perform every form of evil at your leisure! You cease not from reveling in that which I hate! Behold, you murder the innocent day and night and plot evil against your neighbor! You stand up for the rights of those who commit abomination and clap your hands as wickedness is celebrated openly in the streets!... O MOST PERVERSE AND ABOMINABLE GENERATION, SHALL I NOT REPAY?!  Hear the Word of The Lord - TrumpetCallOfGodOnline.  co m",1
pRpeEdMmmQ0,laura elliott,2013-07-16T05:48:01.795000,i watched this because of the large amount of views and now i am convinced it is because that girl is so hot,0
pRpeEdMmmQ0,Lisa Matthews,2013-07-17T13:56:03.233000,Check out this video on YouTube:<br />&quot;This Time for Africa&quot;. One for Trayvon!  And Our MOTHERland<br />Thank-you Shakira﻿,1
pRpeEdMmmQ0,Chelsea Fischer,2013-07-17T20:34:59.389000,Love this song !!!!!!,0
pRpeEdMmmQ0,Zuzanna Sztandera,2013-07-17T20:41:00.612000,Love this song!!!,0
pRpeEdMmmQ0,hsn moghrbi,2013-07-17T21:14:40.168000,wow,0
pRpeEdMmmQ0,Johnny Rei Vlog,2013-07-18T16:50:26.909000,"Hi -this is Johnny: 1. If You already know my music - thumb this up, because You found it this way, too. 2. If You want to hear original songs completely made by 1 person, continue reading:  I sing, write original music+lyrics &amp; play guitar, bass, drums &amp; keyboards. I&#39;m a 1-man-band. My music is completely independent &amp; 100% listener-supported. If You want to hear it &amp; if You&#39;re willing to help record new album - click on my name/picture.  Thank You &amp; enjoy the music - wish You awesome day!",1
pRpeEdMmmQ0,yakikukamo FIRELOVER,2013-07-18T17:07:06.152000,hey you ! check out the channel of Alvar Lake !!,1
pRpeEdMmmQ0,Johnny Rei Vlog,2013-07-19T11:41:54.923000,"Nice to meet You - this is Johnny: 1. If You already know my music - thumb this up, because You found it this way, too. 2. If You want to hear original songs completely made by 1 person, continue reading:  I sing, write original music+lyrics &amp; play guitar, bass, drums &amp; keyboards. I&#39;m a 1-man-band. My music is completely independent &amp; 100% listener-supported. If You want to hear it &amp; if You&#39;re willing to help record new album - click on my name/picture.  Enjoy the music - wish You awesome day!",1
pRpeEdMmmQ0,steven reed,2013-07-19T22:12:16.609000,Please check out and send to others Freedom and Justice are on the line!  Please Google:   Steven L. Reed Case Lands in Supreme Court---thanks!,1
pRpeEdMmmQ0,ricky swaggz,2013-07-20T22:09:23.728000,******* Facebook is LAME and so 2004! Check out ------------ swagFriends com Make thousands of cool new friends everyday! Join this new movement!,1
pRpeEdMmmQ0,Joshua Kasey,2013-07-21T08:26:18.155000,"Hello everyone, It Is not my intention to spam and am truly sorry If anyone Is annoyed by this but just please hear me out.  I am a rapper, singer, music producer and a song writer and have been making music for a while now, eight years to be exact.  I enjoy making all types of music that anyone can listen to, doesn&#39;t have me talking about killing anyone and most importantly, focuses on the quality of the music.  Please check out my page, It&#39;s only a click away.  Thank you and have a nice day :)",1
pRpeEdMmmQ0,Shadrach Grentz,2013-07-21T12:21:37.898000,"Hey Music Fans I really appreciate all of you who take time to read this, and check my music out! I&#39;m just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I dont have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that u won&#39;t regret!!! Thank u to all the people who just give me a chance it means a lot! :)",1
pRpeEdMmmQ0,damion taylor,2013-07-21T20:20:34.118000,check out my new video,1
pRpeEdMmmQ0,macgyver16,2013-07-23T17:00:14.596000,adf.ly / KlD3Y,1
pRpeEdMmmQ0,macgyver16,2013-07-24T14:07:32.431000,adf.ly / KlD3Y,1
pRpeEdMmmQ0,BDOG1040,2013-07-25T05:45:57.646000,SUBSCRIBE MY CHANNEL,1
pRpeEdMmmQ0,meg fluttershy,2013-07-25T20:47:41.071000,Love itt and ppl check out my channel!!!,1
pRpeEdMmmQ0,Anthony Lam,2013-07-29T08:59:24.455000,"Hey, I am doing the Forty Hour famine so I&#39;ll be giving up on food and social working for 40 hours. I&#39;m doing this to raise money for African people who can&#39;t experience the luxuries that we can. So can you donate to give them a chance?  Any amount would do :)  Click on the link and donate h t t p : / / 4 0 h f . c o m . a u / A n t h o n y L a m Thanks :)",1
pRpeEdMmmQ0,Shadrach Grentz,2013-07-29T17:39:24.876000,"Hey Music Fans I really appreciate any of you who will take the time to read this, and check my music out! I&#39;m just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I don&#39;t have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that you won&#39;t regret!!! Thank u to all the people who just give me a chance! :) ",1
pRpeEdMmmQ0,Hidden Love,2013-07-30T11:22:57.091000,Hi.Check out and share our songs.,1
pRpeEdMmmQ0,Hidden Love,2013-07-31T10:22:02.628000,Hi. Check out and share our songs.,1
pRpeEdMmmQ0,Hidden Love,2013-08-01T09:19:56.654000,Hi. Check out and share our songs.,1
pRpeEdMmmQ0,Shadrach Grentz,2013-08-01T20:39:15.325000,"Hey Music Fans I really appreciate any of you who will take the time to read this, and check my music out! I&#39;m just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I don&#39;t have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that you won&#39;t regret!!! Thank u to all the people who just give me a chance! :) ",1
pRpeEdMmmQ0,Shadrach Grentz,2013-08-01T21:43:52.122000,"Hey Music Fans I really appreciate any of you who will take the time to read this, and check my music out! I&#39;m just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I don&#39;t have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that you won&#39;t regret!!! Thank u to all the people who just give me a chance! :) ",1
pRpeEdMmmQ0,Shadrach Grentz,2013-08-02T03:15:46.914000,"Hey Music Fans I really appreciate any of you who will take the time to read this, and check my music out! I&#39;m just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I don&#39;t have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that you won&#39;t regret!!! Thank u to all the people who just give me a chance! :)",1
pRpeEdMmmQ0,DJ ROY,2013-08-02T21:02:09.931000,"Hey youtubers... I really appreciate all of you who took the time, to read this, I am just a 19 year old boy who wants to be a successful musician in the music world. I dont have any money to advertise my channel, If you could just visit my channel, comment on my video or subscribe, that would be great.... It will only be few seconds of your life..... Thank u to all the people who just gave me a chance l really appreciate it  ",1
pRpeEdMmmQ0,Tim Marrotte,2013-08-05T12:25:21.682000,CHECK OUT partyman318 FR GOOD TUNEZ!! :D,1
pRpeEdMmmQ0,Hidden Love,2013-08-06T11:40:05.581000,Hi. Check out and share our songs.,1
pRpeEdMmmQ0,ricky swaggz,2013-08-07T23:40:12.225000,******* Facebook is LAME and so 2004! Check out ------------ swagFriends com Make thousands of cool new friends everyday! Join this new movement!,1
pRpeEdMmmQ0,TheEpicMixx':)x,2013-08-08T13:34:40.655000,I really ask nicely to view my vids:) I subscribe back..,1
pRpeEdMmmQ0,TheEpicMixx':)x,2013-08-08T14:54:45.831000,Please.. Check my channel out:) I subscribe back..;),1
pRpeEdMmmQ0,Titan,2013-08-08T21:15:36.040000,"Subscribe me, I will? subscribe you back!!!",1
pRpeEdMmmQ0,Titan,2013-08-08T21:16:25.626000,"Subscribe me, I will? subscribe you back!!!",1
pRpeEdMmmQ0,Comedy Recipe,2013-08-11T03:40:42.801000,"Hey guys and girls check out Comedy Recipe for hilarious you tube videos, pranks, and crank calls!",1
pRpeEdMmmQ0,Edward Wright,2013-08-11T05:23:08.533000,"Hey, hit this shit up while yall can, they killed the versace remix. Just type in CGE &quot;Versace Freestyle (Get Money)&quot; Shot by Ja-Wan Gardner and help them reach 1 million views.",1
pRpeEdMmmQ0,Stanša Matej,2013-08-13T19:18:54.893000,please subscribe to my page. thanks.,1
pRpeEdMmmQ0,Mazacar Cfc,2013-08-13T20:01:56.702000,subscribe to my pagee please.,1
pRpeEdMmmQ0,DJ ROY,2013-08-14T21:07:42.306000,"Hey youtubers... I really appreciate all of you who took the time, to read this, I am just a 19 year old boy who wants to be a successful musician in the music world. I dont have any money to advertise my channel, If you could just visit my channel, comment on my video or subscribe, that would be great.... It will only be few seconds of your life..... Thank u to all the people who just gave me a chance l really appreciate it  ",1
pRpeEdMmmQ0,DynamicDesignStudios,2013-08-15T19:58:19.748000,"Hello everyone :) I know most of you probably pass up these kind of comments, but for those who are still reading this, thanks! I don’t have any money for advertisements, no chance of getting heard, nothing... If this comes off as spam, sorry. I am a video animator, just trying to make it up into the video animation industry. Please give me the chance to prove myself to you. Please visit my channel, subscribe if you like and thumb this comment up, so everyone can see! Thank You! ",1
pRpeEdMmmQ0,DynamicDesignStudios,2013-08-15T22:17:46.329000,"Hello everyone :) I know most of you probably pass up these kind of comments, but for those who are still reading this, thanks! I don’t have any money for advertisements, no chance of getting heard, nothing... If this comes off as spam, sorry. I am a video animator, just trying to make it up into the video animation industry. Please give me the chance to prove myself to you. Please visit my channel, subscribe if you like and thumb this comment up, so everyone can see! Thank You! ",1
pRpeEdMmmQ0,Fiddle Me Silly,2013-08-16T12:06:30.190000,Check out  these Irish guys cover  of Avicii&#39;s  Wake Me Up!  Just search...  &quot;wake me up Fiddle Me Silly&quot; Worth a listen  for the gorgeous fiddle player!,1
pRpeEdMmmQ0,macgyver16,2013-08-16T14:07:09.668000,adf.ly /KlD3Y,1
pRpeEdMmmQ0,Bernice Anne,2013-08-16T18:33:18.009000,"Could you please check out my covers on my channel? I do covers like Adele, Kodaline, Imagine Dragons...and more. Please if you could spare a few minutes,  could you have a listen to one or two of my covers , Feel free to comment and subscribe :) Thank you! ",1
pRpeEdMmmQ0,Diaz Katherine,2013-08-17T21:11:39.761000,Earn money for being online with 0 efforts!    bit.ly\14gKvDo,1
pRpeEdMmmQ0,Gotcha Laughs,2013-08-19T17:21:29.806000,Wanna Laugh??? Please SUBSCRIBE to our channel!!!,1
pRpeEdMmmQ0,How To Make Money On The Internet,2013-08-21T14:18:11.087000,i can to make money,1
pRpeEdMmmQ0,OriginalVines Best,2013-08-21T20:02:33.102000,CHECK OUT THE DUBSTEP VERSION,1
pRpeEdMmmQ0,Adam Whitney,2013-08-24T03:05:10.278000,"Hello everyone :) I know most of you probably pass up these kind of comments, but for those who are still reading this, thanks! I don’t have any money for advertisements, no chance of getting heard, nothing. I live in such a small town... If this comes off as spam, sorry. I’m an instrumental songwriter from Columbus, Mississippi. Please go to my channel and check out my original music. It would be highly appreciated if you thumbs up this comment so my music can be heard! Thank you, Adam Whitney ",1
pRpeEdMmmQ0,henry Richardson,2013-08-24T05:53:21.519000,wanna earn money online without investment.....just visit this link .....therglove.blogspot.in/2013/08/blog-post_10.html,1
pRpeEdMmmQ0,CC FootballWorld,2013-08-24T12:41:23.384000,Please go in and see our Channel and subscribe :-). It would be Nice mate.,1
pRpeEdMmmQ0,Adam Whitney,2013-08-25T03:56:24.363000,"Hello everyone :) I know most of you probably pass up these kind of comments, but for those who are still reading this, thanks! I don’t have any money for advertisements, no chance of getting heard, nothing. I live in such a small town... If this comes off as spam, sorry. I’m an instrumental songwriter from Columbus, Mississippi. Please go to my channel and check out my original music. It would be highly appreciated if you thumbs up this comment so my music can be heard! Thank you, Adam Whitney ",1
pRpeEdMmmQ0,Ando Nesia - | MC | Music Producer,2013-08-25T04:22:28.183000,SO THEN HOW ARE YOU GOING TO CALL YOURSELF A INSTRUMENTAL SONGWRITER IF THERES NO SINGING THERES NO SONG TO WRITE!?!?! LOL.   YOU GOT ALOT TO LEARN KID BUT HEY DON&#39;T FORGET TO SUBSCRIBE!,1
pRpeEdMmmQ0,Adam Whitney,2013-08-26T05:24:14.644000,"Hello everyone :) I know most of you probably pass up these kind of comments, but for those who are still reading this, thanks! I don’t have any money for advertisements, no chance of getting heard, nothing. I live in such a small town... If this comes off as spam, sorry. I’m an instrumental songwriter from Columbus, Mississippi. Please go to my channel and check out my original music. It would be highly appreciated if you thumbs up this comment so my music can be heard! Thank you, Adam Whitney ",1
pRpeEdMmmQ0,Northland Paranormal Society,2013-08-27T13:35:06.557000,Northland Paranormal Society is now on YouTube! Check out our channel of real Paranormal evidence!! facebook/ Northland Paranormal Society!!!,1
pRpeEdMmmQ0,RapStarz Coleman,2013-08-27T21:12:40.752000,I Know Y&#39;all Can Check Out Amy Music Because Yall Got Me Go To Da Channel,1
pRpeEdMmmQ0,RapStarz Coleman,2013-08-28T19:05:48.998000,Wats Good Go Check Out My Music On Da Channel Ik Yall Got me,1
pRpeEdMmmQ0,Mini Mus,2013-08-29T12:28:03.233000,WOW muslims are really egoistic..... 23% of the World population and not in this video or donating 1 dollar to the poor ones in Africa :( shame on those terrorist muslims,1
pRpeEdMmmQ0,Chris Boatsome,2013-08-30T22:41:51.117000,Hey dickwad - we&#39;re all africans. The colour of your skin just tells us something about how long ago your ancestors left Africa.   Check out Baba Brinkman - he has a song called &quot;I&#39;m A African&quot;   Go learn something.,1
pRpeEdMmmQ0,Maika Kate Mish Linn,2013-08-31T08:56:12.507000,:) I&#39;ll subscribe to you. You look Nice :),1
pRpeEdMmmQ0,Maika Kate Mish Linn,2013-08-31T08:59:35.957000,How did you know that people makes another account just for subscribing itself and liking??? :),1
pRpeEdMmmQ0,How To Make Money On Youtube,2013-09-01T10:24:20.112000,Meet The Richest Online Marketer  NOW CLICK : bit.ly/make-money-without-adroid,1
pRpeEdMmmQ0,How To Advertise On Facebook,2013-09-01T16:16:00.721000,WAYS TO MAKE MONEY 50k Per Month Search google Now &gt;&gt; 9nl.me/make-money-without-investment-1,1
pRpeEdMmmQ0,Tiffanythebest,2013-09-02T19:42:46.640000,"PLEASE CHECK OUT THIS VIDEO CALLED &quot;WE LOVE MIND MASTER IT&quot;, THANK U :)",1
pRpeEdMmmQ0,david rodriguez,2013-09-04T04:08:26.821000,do you want to make some easy money? check out my page tvcmcadavid.weebly . com dont miss out on this opportunity give thumbs up i would  apprecitate it.,1
pRpeEdMmmQ0,Wafence,2013-09-04T19:16:44.109000,"Hey Youtubers and All Music lover&#39;s, Guess most of you all skip these comments, but for you who is still reading this, thanks ! I dont have any money for advertisiments, no chance of getting heard, nothing. All that&#39;s left is spam, sorry. Im 17, Rapper/Singer from Estonia. Please listen my new cover on my account. You wont regret it. Give me just a chance, please. Take half a second of your life and thumb this comment up. It will maybe change my life, for real. Thank you Wafence ",1
pRpeEdMmmQ0,Charly Boy Toy,2013-09-05T17:05:33.790000,the best!,0
pRpeEdMmmQ0,5000palo,2013-09-05T17:29:20.413000,Shakira :-*,0
pRpeEdMmmQ0,fatiha el fallali,2013-09-05T18:08:08.377000,Shakira,0
pRpeEdMmmQ0,اسيا الخواجة,2013-09-05T18:47:29,Nice,0
pRpeEdMmmQ0,arribasinaloa Beltran,2013-09-05T19:25:33.583000,shakira is the best!,0
pRpeEdMmmQ0,jemy Abdulrahman,2013-09-05T19:30:37.124000,WOw,0
pRpeEdMmmQ0,timemastro1,2013-09-05T19:31:01.424000,god she is so sexy! drives me crazy!,0
pRpeEdMmmQ0,Faisal Alqarny,2013-09-05T21:46:13.297000,Nice song ^_^,0
pRpeEdMmmQ0,Neeru bala,2013-09-05T23:07:09.056000,Hi.. Everyone.. If anyone after real online work. I can help u. Earn lots of money. It&#39;s fun. It&#39;s real and affiliated company.. U not think u r working. It&#39;s easy and enjoyable. For more info contact me .. Neeru105@ gmail.com,1
pRpeEdMmmQ0,Krystian Konrad Moreński,2013-09-06T09:36:48.076000,"Part 2. Holy Mary, pray for us Holy Mother of God, pray for us Holy Virgin of virgins, pray for us Mother of Christ, pray for us Mother of divine grace, pray for us Mother most pure, pray for us Mother most chaste, pray for us Mother inviolate, pray for us Mother undefiled, pray for us Mother most amiable, pray for us Mother most admirable, pray for us Mother of good counsel, pray for us Mother of our Creator, pray for us Mother of our Redeemer, pray for us ",1
pRpeEdMmmQ0,Krystian Konrad Moreński,2013-09-06T09:38:13.854000,"Part 5. Comforter of the afflicted, pray for us Help of Christians, pray for us Queen of Angels, pray for us Queen of Patriarchs, pray for us Queen of Prophets, pray for us Queen of Apostles, pray for us Queen of Martyrs, pray for us Queen of Confessors, pray for us Queen of Virgins, pray for us Queen of all Saints, pray for us Queen conceived without original sin, pray for us Queen of the most holy Rosary, pray for us Queen of the family, pray for us Queen of peace, pray for us ",1
pRpeEdMmmQ0,Charanjeet Singh,2013-09-06T12:13:12.642000,&quot;HELP THE HUMANITY WITH YOUR SIGN IN TO THIS LINK WITH YOUR WHOLEHEARTED SUPPORT IF YOU SAY &quot;NO&quot; TO DISCRIMINATION. “UNITED WE STAND “  WE WILL BRING THE CHANGE TOGETHER.  IMPOSSIBLE ITSELF SAYS I  M  POSSIBLE&quot;  YOU ARE THE WINNERS OF MY SUCCESS!CHEERS TO ALL MY LOVING BROTHERS AND SISTERS !  PLEASE SHARE THIS LINK ON FACEBOOK TO SUPPORT AGAINST DISCRIMINATION.  tinyurl(dot)com(slash)mxh2y77  FEAR NONE BUT GOD !!!,1
pRpeEdMmmQ0,dili bair,2013-09-06T14:02:25.579000,Recommend:  Apple iPad 4th Gen 32GB Unlocked Wi-Fi+4G 9.7in White Price:$390  Apple iPhone 5 (Latest Model) - 32GB - Black Price:$385  Samsung Galaxy S4 S IV 4 with 16GB New White Price:$360  Sony 60-inch 3D LED HDTV Price:$510  All-in-One PCs: Apple MacBook Pro: Apple MacBook Air Price:$320  Camera :Nikon D90 SLR Camera /18-55mm /55-200mm 32GB  Price:$390   Ultrabooks: SONY VAIO Pro 13 Intel Core i5 4GB 128GB Price:$515  +++++++++++++++    Purchase online Website is:  Taaee.com,1
pRpeEdMmmQ0,TAKAHASHI KAITO,2013-09-06T14:51:05.944000,good!!,0
pRpeEdMmmQ0,Frans Kraanen,2013-09-06T15:57:09.812000,"I want to see Shakira, not football :)",0
pRpeEdMmmQ0,Alaa Foad,2013-09-06T18:32:07.187000,I love this song,0
pRpeEdMmmQ0,Gintoki Sakata,2013-09-06T19:35:01.117000,Love it,0
pRpeEdMmmQ0,Bold Skud,2013-09-06T20:43:57.411000,I always have goose bumps at that part,0
pRpeEdMmmQ0,TheBoss,2013-09-06T23:42:08.961000,This Song will never get old,0
pRpeEdMmmQ0,ernesta gerikaite,2013-09-07T05:30:09.654000,cool,0
pRpeEdMmmQ0,jundi sahibol,2013-09-07T05:55:49.698000,awesome,0
pRpeEdMmmQ0,John Jones,2013-09-07T10:25:25.376000,Ouf Ouf OUFFFFFFFFFFFFFFFFFF!!!!!!!! :),0
pRpeEdMmmQ0,brooke louise,2013-09-07T11:30:46.720000,OMG LOVE THIS!,0
pRpeEdMmmQ0,5000palo,2013-09-07T13:36:28.059000,Shakira :-*,0
pRpeEdMmmQ0,Trulee IsNotAmazing,2013-09-07T14:18:22.601000,Beautiful song beautiful girl it works,0
pRpeEdMmmQ0,DizzyDank314,2013-09-07T20:04:51.947000,ｈｔｔｐ://ｗｗｗ.ｅｂａｙ.ｃｏｍ/ｕｓｒ/ｓｈｏｅｃｏｌｌｅｃｔｏｒ314,1
pRpeEdMmmQ0,5000palo,2013-09-07T21:37:36.738000,She is perfect,0
pRpeEdMmmQ0,Lizzy Molly,2013-09-09T17:34:07.052000,PLEASE CHECK OUT MY VIDEO CALLED &quot;WE LOVE MIND MASTER IT&quot; THANKS,1
pRpeEdMmmQ0,Mohammad Dorri,2013-09-10T14:21:06.521000,please visit our web: wellcomemd.blogfa.com,1
pRpeEdMmmQ0,Greg Fils Aimé,2013-09-10T23:18:01.455000,"I hope everyone is in good spirits I&#39;m a hard working student who&#39;s also a passionate singer I look foward to the day when I can make my own music to share But for now I&#39;ve just been doing covers. Check out my channel, I&#39;ve done Covers of Miley Cyrus, Imagine Dragons, Lana Del Rey, Drake, Macklemore, Pink and countless others.  Subscribe only if you want to. My goal isn&#39;t to become famous but to  inspire FYI this isn&#39;t spamming, everyone has a right to freedom of speech. Thanks ",1
pRpeEdMmmQ0,The-ZiZ Oh,2013-09-14T16:15:00.990000,HI! CHECK OUT OUR AWESOME COVERS! AND SAY WHAT YOU THINK!,1
pRpeEdMmmQ0,killtheclockhd,2013-09-17T15:23:13.101000,check out our bands page on youtube killtheclockhd - check out some of our original songs including &quot;your disguise&quot;,1
pRpeEdMmmQ0,Finuccsi Aka csincsilla3M,2013-09-21T15:43:40.171000,/watch?v=Dtqcftr1Fac JUSTIEN BIEBER CAR 2013. LIKE&amp;SUBSCRIBE,1
pRpeEdMmmQ0,Noise​Break,2013-09-21T22:11:23.900000,Subscribe &amp; Like /watch?v=5tu9gN1l310,1
pRpeEdMmmQ0,Hidden Love,2013-09-24T14:29:54.072000,Hi. Check out and share our songs.,1
pRpeEdMmmQ0,RanMC & RVNNIN' RVNN,2013-09-26T20:13:40.670000,Hey check out our new musicvideo &#39;&#39;Life&#39;s a celebration&#39;&#39; Peace !,1
pRpeEdMmmQ0,Vincent T.,2013-09-29T00:44:30.904000,"Echa un vistazo a la remezcla! / Check out the remix!  MILEY CYRUS - WRECKING BALL (THE HOUSE OF EDM REMIX)  MILEY CYRUS - WRECKING BALL (VINCENT T. REMIX)  ...click, enlace, suscríbase! / ...click, link, subscribe!",1
pRpeEdMmmQ0,Shadrach Grentz,2013-09-29T13:59:42.162000,"Hey Music Fans I really appreciate any of you who will take the time to read this, and check my music out! I&#39;m just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I don&#39;t have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that you won&#39;t regret!!! Thank u to all the people who just give me a chance! :) ",1
pRpeEdMmmQ0,42o2 Studios,2013-10-01T19:10:56.808000,Check out my covers please!,1
pRpeEdMmmQ0,latrell brown,2013-10-01T23:42:30.928000,CHECK OUT DANEJA GOOD GIRL,1
pRpeEdMmmQ0,Trang Le,2013-10-02T00:48:17.158000,Shakira voice sound spanish but that is what make the music sound amazing ♥I LOVE IT,0
pRpeEdMmmQ0,mirzet beganovic,2013-10-02T02:06:20.220000,Wow,0
pRpeEdMmmQ0,Juan Martinez,2013-10-02T03:08:55.478000,She is perfect! &lt;3,0
pRpeEdMmmQ0,viginas smell like fish,2013-10-02T03:16:47.796000,God she is so hot,0
pRpeEdMmmQ0,annabelle dalal,2013-10-02T03:50:46.921000,She is good,0
pRpeEdMmmQ0,Alain Bruno,2013-10-02T04:01:20.922000,Shakira is very beautiful,0
pRpeEdMmmQ0,น้ำ ริน,2013-10-02T06:32:58.224000,beautiful,0
pRpeEdMmmQ0,Chris Williams,2013-10-02T07:50:13.051000,Shakira I love you,0
pRpeEdMmmQ0,Kenji Bustalinio,2013-10-02T11:46:51.783000,:),0
pRpeEdMmmQ0,Minh Lý,2013-10-02T12:15:58.210000,i like and love so much people all friends..... I love Shakira ^^,0
pRpeEdMmmQ0,Abdullah Alawani,2013-10-02T12:49:44.963000,I love you,0
pRpeEdMmmQ0,salama al jadeedi,2013-10-02T13:22:09.610000,wow,0
pRpeEdMmmQ0,ben mashall,2013-10-02T13:42:21.938000,:),0
pRpeEdMmmQ0,5000palo,2013-10-02T13:45:33.782000,Shakira :-*,0
